,ward_no,date,mean
486,25,2018-07-31,-0.5663370342557187
487,60,2018-07-31,-0.5248752080254299
488,10,2018-07-31,-0.6242144550811691
489,62,2018-07-31,-0.478950020207469
490,71,2018-07-31,-0.5412185901432369
491,91,2018-07-31,-0.4096115376583625
492,75,2018-07-31,-0.6403536200794129
493,96,2018-07-31,-0.4412887664536755
494,88,2018-07-31,-0.5300462649755574
495,44,2018-07-31,-0.4953778513777493
496,85,2018-07-31,-0.5113138596000866
497,89,2018-07-31,-0.4991728990172252
498,67,2018-07-31,-0.4766692484836245
499,76,2018-07-31,-0.6454625384401856
500,74,2018-07-31,-0.6165317757592121
501,87,2018-07-31,-0.4996375520137963
502,132,2018-07-31,-0.6312759033314395
503,69,2018-07-31,-0.5189340873299356
504,22,2018-07-31,-0.5388780097313136
505,119,2018-07-31,-0.6135578811856268
506,54,2018-07-31,-0.4882909251131608
507,122,2018-07-31,-0.43920734589498334
508,29,2018-07-31,-0.5905373132783136
509,109,2018-07-31,-0.3648834678427736
510,32,2018-07-31,-0.5914063251960245
511,57,2018-07-31,-0.6234914756380167
512,136,2018-07-31,-0.6250349204412269
513,106,2018-07-31,-0.3874881262779651
514,4,2018-07-31,-0.6731747686873111
515,52,2018-07-31,-0.4548015731437808
516,38,2018-07-31,-0.5823887117553027
517,81,2018-07-31,-0.5922525891118068
518,127,2018-07-31,-0.5460681053526257
519,53,2018-07-31,-0.4723353918808055
520,34,2018-07-31,-0.563770555755468
521,135,2018-07-31,-0.6667183379702906
522,117,2018-07-31,-0.5655562366661236
523,130,2018-07-31,-0.5645735163548732
524,19,2018-07-31,-0.5496194903847645
525,78,2018-07-31,-0.6435952536323752
526,27,2018-07-31,-0.6241949952315728
527,98,2018-07-31,-0.4761396035987092
528,6,2018-07-31,-0.7094492902021603
529,2,2018-07-31,-0.6980132865129909
530,59,2018-07-31,-0.5987602800362885
531,131,2018-07-31,-0.598427776327176
532,42,2018-07-31,-0.5247817238718109
533,129,2018-07-31,-0.5285043872823225
534,51,2018-07-31,-0.4434537319277754
535,120,2018-07-31,-0.5518174451925115
536,8,2018-07-31,-0.6133554841742607
537,1,2018-07-31,-0.7445869361662281
538,80,2018-07-31,-0.6220253066703588
539,55,2018-07-31,-0.548274232079828
540,64,2018-07-31,-0.5283014610129685
541,107,2018-07-31,-0.4527527094850317
542,77,2018-07-31,-0.6442090229947139
543,28,2018-07-31,-0.6066686794298866
544,112,2018-07-31,-0.4555217948092186
545,133,2018-07-31,-0.607038874188994
546,65,2018-07-31,-0.5210537426320302
547,24,2018-07-31,-0.5386144018415637
548,128,2018-07-31,-0.5096506322930927
549,50,2018-07-31,-0.4359840436582673
550,113,2018-07-31,-0.4193027550593104
551,94,2018-07-31,-0.4770378692627829
552,79,2018-07-31,-0.6400432607479749
553,11,2018-07-31,-0.6386258526562624
554,15,2018-07-31,-0.6368499831443912
555,140,2018-07-31,-0.7060241029009559
556,97,2018-07-31,-0.4731178070013385
557,48,2018-07-31,-0.4617891909605166
558,35,2018-07-31,-0.5658330259285123
559,116,2018-07-31,-0.5233358006124427
560,95,2018-07-31,-0.4578536952134133
561,30,2018-07-31,-0.5791777511852839
562,58,2018-07-31,-0.5750116183881958
563,105,2018-07-31,-0.3823195966295181
564,20,2018-08-07,-1.6699484423311362
565,102,2018-08-07,-1.5518665413225368
566,46,2018-08-07,-1.6336191521472732
567,73,2018-08-07,-1.4718947047174924
568,82,2018-08-07,-1.4625935991896069
569,124,2018-08-07,-1.2632931616260192
570,56,2018-08-07,-1.6898051165698875
571,3,2018-08-07,-1.6636186936343322
572,36,2018-08-07,-1.6806942377806462
573,41,2018-08-07,-1.6794872374153489
574,37,2018-08-07,-1.6928405846138512
575,139,2018-08-07,-1.396848637008181
576,23,2018-08-07,-1.7119269224731497
577,40,2018-08-07,-1.6963617692958357
578,121,2018-08-07,-1.2325775868657194
579,33,2018-08-07,-1.6834999872357803
580,103,2018-08-07,-1.6139828454914809
581,13,2018-08-07,-1.6077022273930308
582,66,2018-08-07,-1.684104531483624
583,123,2018-08-07,-1.206904852360397
584,63,2018-08-07,-1.5601416113768671
585,21,2018-08-07,-1.7183341830162469
586,49,2018-08-07,-1.6940583427413276
587,70,2018-08-07,-1.5496537178135992
588,45,2018-08-07,-1.6601489541041854
589,100,2018-08-07,-1.5224761126106712
590,92,2018-08-07,-1.4757153665120342
591,9,2018-08-07,-1.6528476323493693
592,114,2018-08-07,-1.4522019854729367
593,101,2018-08-07,-1.5783486675825584
594,138,2018-08-07,-1.4304675023923814
595,31,2018-08-07,-1.6970962079324456
596,104,2018-08-07,-1.5931788197175216
597,5,2018-08-07,-1.6365075231938733
598,126,2018-08-07,-1.2670003599612343
599,14,2018-08-07,-1.642906804303793
600,111,2018-08-07,-1.5057891968085897
601,93,2018-08-07,-1.4057936029188889
602,61,2018-08-07,-1.6274384848492842
603,86,2018-08-07,-1.5714093787101553
604,90,2018-08-07,-1.4709370932176205
605,26,2018-08-07,-1.606224562972402
606,72,2018-08-07,-1.521663057580875
607,134,2018-08-07,-1.3029014415836555
608,99,2018-08-07,-1.5241466271153334
609,125,2018-08-07,-1.2629142934918105
610,118,2018-08-07,-1.3299830073712349
611,83,2018-08-07,-1.4714975357055664
612,43,2018-08-07,-1.6604232344415435
613,47,2018-08-07,-1.64759774722333
614,115,2018-08-07,-1.3629149074069151
615,68,2018-08-07,-1.5936084039250669
616,39,2018-08-07,-1.6934962379292495
617,12,2018-08-07,-1.6432233571589456
618,108,2018-08-07,-1.720670470767363
619,110,2018-08-07,-1.5961036271612628
620,141,2018-08-07,-1.4556982955079767
621,17,2018-08-07,-1.629498336455941
622,7,2018-08-07,-1.6508345007896423
623,16,2018-08-07,-1.5936296231351148
624,137,2018-08-07,-1.3182633554750418
625,84,2018-08-07,-1.4985117901277762
626,18,2018-08-07,-1.6471652116244218
627,25,2018-08-07,-1.6386480229562852
628,60,2018-08-07,-1.6589409814271951
629,10,2018-08-07,-1.649675651322558
630,62,2018-08-07,-1.5943940185509045
631,71,2018-08-07,-1.487667198573742
632,91,2018-08-07,-1.5557580968584863
633,75,2018-08-07,-1.5442813427061906
634,96,2018-08-07,-1.4961333602421836
635,88,2018-08-07,-1.435269744691106
636,44,2018-08-07,-1.6610331619516054
637,85,2018-08-07,-1.5564191640017562
638,89,2018-08-07,-1.3492720906727185
639,67,2018-08-07,-1.6388745267186546
640,76,2018-08-07,-1.4398623670678223
641,74,2018-08-07,-1.4505310608809523
642,87,2018-08-07,-1.4279757416912242
643,132,2018-08-07,-1.2540953255727527
644,69,2018-08-07,-1.6110380373089999
645,22,2018-08-07,-1.7517954087198249
646,119,2018-08-07,-1.3286060061961569
647,54,2018-08-07,-1.6594983954087883
648,122,2018-08-07,-1.310470707072126
649,29,2018-08-07,-1.6928690149240435
650,109,2018-08-07,-1.6390634323453157
651,32,2018-08-07,-1.6802816714886233
652,57,2018-08-07,-1.687754331113291
653,136,2018-08-07,-1.3108615793491332
654,106,2018-08-07,-1.5943576054499111
655,4,2018-08-07,-1.6644620505538836
656,52,2018-08-07,-1.626709432984372
657,38,2018-08-07,-1.6964818279459977
658,81,2018-08-07,-1.399966079136304
659,127,2018-08-07,-1.306341068197888
660,53,2018-08-07,-1.651490201033076
661,34,2018-08-07,-1.6820700258117405
662,135,2018-08-07,-1.2996536392530895
663,117,2018-08-07,-1.3552576668688607
664,130,2018-08-07,-1.2014357717409212
665,19,2018-08-07,-1.659075518234184
666,78,2018-08-07,-1.3943512178386392
